booking_id,customer_id,service_type,service_price,booking_date,appointment_date,appointment_hour,booking_lead_time_days,past_visit_count,past_cancellation_count,past_no_show_count,payment_method,branch,day_of_week,is_weekend,customer_age,gender,appointment_outcome
BK_00001,CUST_0465,Hair Coloring,2500,2025-12-12,2025-12-20,13,8,3,0,0,UPI Prepaid,Indiranagar,Saturday,1,40,Male,Show
BK_00002,CUST_1777,Hair Treatment,4000,2025-11-23,2025-11-24,14,1,4,0,0,Pay at Salon (Cash),Whitefield,Monday,0,31,Female,Show
BK_00003,CUST_1878,Hair Coloring,2500,2025-12-30,2026-01-29,19,30,2,0,0,Pay at Salon (Cash),Jayanagar,Thursday,0,18,Female,No-Show
BK_00004,CUST_1743,Spa & Massage,3000,2025-12-18,2025-12-20,14,2,3,0,0,Pay at Salon (Cash),Indiranagar,Saturday,1,37,Female,Show
BK_00005,CUST_0909,Haircut,500,2025-09-07,2025-09-08,12,1,3,0,0,Pay at Salon (Cash),Whitefield,Monday,0,29,Female,Show
BK_00006,CUST_0557,Spa & Massage,3000,2025-10-06,2025-10-07,11,1,2,0,0,Pay at Salon (Cash),HSR Layout,Tuesday,0,36,Male,Show
BK_00007,CUST_1335,Facial,1500,2026-01-18,2026-01-19,11,1,18,1,0,Online Prepaid,HSR Layout,Monday,0,32,Male,Show
BK_00008,CUST_1463,Haircut,500,2026-01-09,2026-01-12,11,3,7,0,0,Card on File,Koramangala,Monday,0,36,Female,Show
BK_00009,CUST_0893,Haircut,500,2025-11-14,2025-11-21,16,7,4,0,0,Online Prepaid,Whitefield,Friday,0,41,Male,Show
BK_00010,CUST_1078,Spa & Massage,3000,2026-02-04,2026-02-05,19,1,4,0,0,Pay at Salon (Cash),Koramangala,Thursday,0,40,Male,Show
BK_00011,CUST_0592,Spa & Massage,3000,2026-01-10,2026-01-12,12,2,1,0,0,Card on File,Whitefield,Monday,0,31,Male,Show
BK_00012,CUST_0197,Hair Coloring,2500,2025-12-06,2025-12-12,20,6,1,0,0,Pay at Salon (Cash),HSR Layout,Friday,0,37,Other,No-Show
BK_00013,CUST_0432,Hair Coloring,2500,2025-11-19,2025-11-24,9,5,2,0,0,UPI Prepaid,HSR Layout,Monday,0,33,Female,No-Show
BK_00014,CUST_0582,Haircut,500,2025-10-30,2025-11-10,10,11,1,0,0,UPI Prepaid,HSR Layout,Monday,0,21,Male,No-Show
BK_00015,CUST_0718,Spa & Massage,3000,2025-12-27,2026-01-01,16,5,13,0,0,Pay at Salon (Cash),Indiranagar,Thursday,0,30,Other,Show
BK_00016,CUST_0552,Spa & Massage,3000,2025-11-30,2025-12-10,19,10,2,0,0,Pay at Salon (Cash),Jayanagar,Wednesday,0,46,Female,Show
BK_00017,CUST_1124,Facial,1500,2025-11-09,2025-11-14,18,5,2,0,0,Online Prepaid,HSR Layout,Friday,0,22,Female,Show
BK_00018,CUST_0488,Hair Coloring,2500,2025-12-01,2025-12-02,20,1,1,0,0,Online Prepaid,Koramangala,Tuesday,0,39,Female,Show
BK_00019,CUST_1053,Hair Treatment,4000,2025-10-17,2025-10-25,17,8,3,0,0,UPI Prepaid,Koramangala,Saturday,1,34,Female,Show
BK_00020,CUST_1764,Hair Coloring,2500,2025-12-10,2025-12-11,11,1,3,0,0,Online Prepaid,Indiranagar,Thursday,0,38,Female,Show
BK_00021,CUST_0363,Haircut,500,2026-01-06,2026-01-10,15,4,9,0,0,Online Prepaid,Koramangala,Saturday,1,45,Female,Show
BK_00022,CUST_1934,Haircut,500,2025-09-08,2025-09-12,19,4,13,0,1,Pay at Salon (Cash),HSR Layout,Friday,0,27,Female,No-Show
BK_00023,CUST_1238,Facial,1500,2026-01-30,2026-02-17,19,18,5,0,0,UPI Prepaid,Koramangala,Tuesday,0,37,Female,Show
BK_00024,CUST_1168,Hair Coloring,2500,2025-10-24,2025-11-05,13,12,1,0,0,Online Prepaid,Whitefield,Wednesday,0,44,Female,Show
BK_00025,CUST_1319,Spa & Massage,3000,2026-01-15,2026-01-21,14,6,12,1,0,Card on File,Koramangala,Wednesday,0,47,Male,Show
BK_00026,CUST_0216,Hair Coloring,2500,2025-12-05,2025-12-07,13,2,6,0,0,Pay at Salon (Cash),Jayanagar,Sunday,1,42,Female,Show
BK_00027,CUST_1642,Facial,1500,2025-09-14,2025-09-23,17,9,1,0,0,Online Prepaid,Indiranagar,Tuesday,0,34,Male,No-Show
BK_00028,CUST_1950,Hair Coloring,2500,2025-08-27,2025-09-03,15,7,5,0,0,Pay at Salon (Cash),Whitefield,Wednesday,0,30,Male,Show
BK_00029,CUST_0699,Hair Treatment,4000,2026-01-02,2026-01-12,18,10,14,0,0,UPI Prepaid,Jayanagar,Monday,0,20,Female,Show
BK_00030,CUST_0969,Haircut,500,2025-11-10,2025-11-14,19,4,1,0,0,Online Prepaid,Indiranagar,Friday,0,37,Male,Show
BK_00031,CUST_0858,Hair Coloring,2500,2025-08-18,2025-09-06,12,19,7,0,0,Pay at Salon (Cash),Whitefield,Saturday,1,29,Male,No-Show
BK_00032,CUST_1008,Facial,1500,2026-01-23,2026-01-28,20,5,8,0,0,UPI Prepaid,Whitefield,Wednesday,0,35,Female,No-Show
BK_00033,CUST_1230,Facial,1500,2026-02-14,2026-02-20,12,6,3,0,0,Online Prepaid,Koramangala,Friday,0,39,Male,Show
BK_00034,CUST_1204,Spa & Massage,3000,2025-10-02,2025-10-03,17,1,6,0,0,Pay at Salon (Cash),HSR Layout,Friday,0,45,Female,Show
BK_00035,CUST_0923,Spa & Massage,3000,2026-01-18,2026-01-27,17,9,3,0,0,UPI Prepaid,Jayanagar,Tuesday,0,31,Female,Show
