feature,feature_display,importance
customer_age,Customer Age,0.1309700714670258
payment_method_encoded,Payment Method,0.11763987370718015
past_visit_count,Past Visit Count,0.09944987819951993
booking_lead_time_days,Booking Lead Time (days),0.09696274655611142
appointment_hour,Appointment Hour,0.09335606416132927
service_type_encoded,Service Type,0.0802538865533401
day_of_week_encoded,Day of Week,0.07740272857893987
branch_encoded,Branch,0.0715220571457514
lead_time_bucket_encoded,Lead Time Bucket,0.0428958123755483
hour_bucket_encoded,Hour Bucket,0.04069725709106938
age_group_encoded,Age Group,0.036895477756295696
gender_encoded,Gender,0.033724588931564374
is_weekend,Is Weekend,0.02029097464159056
cancellation_ratio,Historical Cancellation Ratio,0.015406627982122991
is_new_customer,Is New Customer,0.013296496774708831
is_loyal_customer,Is Loyal Customer,0.011379181417815274
no_show_ratio,Historical No-Show Ratio,0.008473800665716172
past_cancellation_count,Past Cancellation Count,0.005934677232439901
past_no_show_count,Past No-Show Count,0.0034477987619305583
